date,quantity
2016-10-31,125
2016-11-07,230
2016-11-14,204
2016-11-21,387
2016-11-28,349
2016-12-05,351
2016-12-12,357
2016-12-19,345
2016-12-26,328
2017-01-02,525
2017-01-09,311
2017-01-16,307
2017-01-23,193
2017-01-30,279
2017-02-06,216
2017-02-13,153
2017-02-20,184
2017-02-27,239
2017-03-06,315
2017-03-13,229
2017-03-20,168
2017-03-27,166
2017-04-03,193
2017-04-10,172
2017-04-17,128
2017-04-24,180
2017-05-01,177
2017-05-08,193
2017-05-15,205
2017-05-22,160
2017-05-29,192
2017-06-05,180
2017-06-12,150
2017-06-19,135
2017-06-26,144
2017-07-03,228
2017-07-10,187
2017-07-17,205
2017-07-24,251
2017-07-31,318
2017-08-07,245
2017-08-14,211
2017-08-21,191
2017-08-28,214
2017-09-04,178
2017-09-11,177
2017-09-18,175
2017-09-25,198
2017-10-02,205
2017-10-09,198
2017-10-16,231
2017-10-23,234
2017-10-30,183
2017-11-06,169
2017-11-13,197
2017-11-20,388
2017-11-27,295
2017-12-04,382
2017-12-11,468
2017-12-18,392
2017-12-25,184
2018-01-01,425
2018-01-08,303
2018-01-15,257
2018-01-22,324
2018-01-29,278
2018-02-05,288
2018-02-12,251
2018-02-19,337
2018-02-26,275
2018-03-05,197
2018-03-12,364
2018-03-19,404
2018-03-26,317
2018-04-02,257
2018-04-09,257
2018-04-16,216
2018-04-23,240
2018-04-30,245
2018-05-07,220
2018-05-14,236
2018-05-21,267
2018-05-28,297
2018-06-04,238
2018-06-11,283
2018-06-18,262
2018-06-25,319
2018-07-02,232
2018-07-09,224
2018-07-16,207
2018-07-23,194
2018-07-30,239
2018-08-06,187
2018-08-13,202
2018-08-20,232
2018-08-27,268
2018-09-03,224
2018-09-10,171
2018-09-17,306
2018-09-24,389
2018-10-01,245
2018-10-08,348
2018-10-15,319
2018-10-22,262
2018-10-29,174
